Log dosyası 2025-05-08 08:30:14 tarihinde oluşturuldu.
[2025-05-08 08:30:47] [INFO] Prestashop GET-EDIT senkronizasyon başlatıldı
[2025-05-08 08:47:31] [INFO] İlerleme: 1850 / 3844 ürün işlendi
[2025-05-08 08:47:35] [INFO] İlerleme: 1860 / 3844 ürün işlendi
[2025-05-08 08:47:41] [INFO] İlerleme: 1870 / 3844 ürün işlendi
[2025-05-08 08:47:43] [INFO] İlerleme: 1880 / 3844 ürün işlendi
[2025-05-08 08:47:49] [INFO] İlerleme: 1890 / 3844 ürün işlendi
[2025-05-08 08:47:58] [INFO] İlerleme: 1900 / 3844 ürün işlendi
[2025-05-08 08:48:01] [INFO] İlerleme: 1910 / 3844 ürün işlendi
[2025-05-08 08:48:10] [INFO] İlerleme: 1920 / 3844 ürün işlendi
[2025-05-08 08:48:19] [INFO] İlerleme: 1930 / 3844 ürün işlendi
[2025-05-08 08:48:24] [INFO] İlerleme: 1940 / 3844 ürün işlendi
[2025-05-08 08:48:31] [INFO] İlerleme: 1950 / 3844 ürün işlendi
[2025-05-08 08:48:39] [INFO] İlerleme: 1960 / 3844 ürün işlendi
[2025-05-08 08:48:44] [INFO] İlerleme: 1970 / 3844 ürün işlendi
[2025-05-08 08:48:50] [INFO] İlerleme: 1980 / 3844 ürün işlendi
[2025-05-08 08:48:54] [INFO] İlerleme: 1990 / 3844 ürün işlendi
[2025-05-08 08:48:59] [INFO] İlerleme: 2000 / 3844 ürün işlendi
[2025-05-08 08:49:00] [INFO] Batch işlemi başlatılıyor: 2000-2200 / 3844
[2025-05-08 08:49:04] [INFO] İlerleme: 2010 / 3844 ürün işlendi
[2025-05-08 08:49:08] [INFO] İlerleme: 2020 / 3844 ürün işlendi
[2025-05-08 08:49:11] [INFO] İlerleme: 2030 / 3844 ürün işlendi
[2025-05-08 08:49:15] [INFO] İlerleme: 2040 / 3844 ürün işlendi
[2025-05-08 08:49:20] [INFO] İlerleme: 2050 / 3844 ürün işlendi
[2025-05-08 08:49:25] [INFO] İlerleme: 2060 / 3844 ürün işlendi
[2025-05-08 08:49:36] [INFO] İlerleme: 2070 / 3844 ürün işlendi
[2025-05-08 08:49:41] [INFO] İlerleme: 2080 / 3844 ürün işlendi
[2025-05-08 08:49:44] [INFO] İlerleme: 2090 / 3844 ürün işlendi
[2025-05-08 08:49:51] [INFO] İlerleme: 2100 / 3844 ürün işlendi
[2025-05-08 08:49:54] [INFO] İlerleme: 2110 / 3844 ürün işlendi
[2025-05-08 08:49:58] [INFO] İlerleme: 2120 / 3844 ürün işlendi
[2025-05-08 08:50:03] [INFO] İlerleme: 2130 / 3844 ürün işlendi
[2025-05-08 08:50:11] [INFO] İlerleme: 2140 / 3844 ürün işlendi
[2025-05-08 08:50:20] [INFO] İlerleme: 2150 / 3844 ürün işlendi
[2025-05-08 08:50:26] [INFO] İlerleme: 2160 / 3844 ürün işlendi
[2025-05-08 08:50:33] [INFO] İlerleme: 2170 / 3844 ürün işlendi
[2025-05-08 08:50:46] [INFO] İlerleme: 2180 / 3844 ürün işlendi
[2025-05-08 08:50:51] [INFO] İlerleme: 2190 / 3844 ürün işlendi
[2025-05-08 08:50:56] [INFO] İlerleme: 2200 / 3844 ürün işlendi
[2025-05-08 08:50:58] [INFO] Batch işlemi başlatılıyor: 2200-2400 / 3844
[2025-05-08 08:51:05] [INFO] İlerleme: 2210 / 3844 ürün işlendi
[2025-05-08 08:51:10] [INFO] İlerleme: 2220 / 3844 ürün işlendi
[2025-05-08 08:51:17] [INFO] İlerleme: 2230 / 3844 ürün işlendi
[2025-05-08 08:51:24] [INFO] İlerleme: 2240 / 3844 ürün işlendi
[2025-05-08 08:51:30] [INFO] İlerleme: 2250 / 3844 ürün işlendi
[2025-05-08 08:51:36] [INFO] İlerleme: 2260 / 3844 ürün işlendi
[2025-05-08 08:51:41] [INFO] İlerleme: 2270 / 3844 ürün işlendi
[2025-05-08 08:51:46] [INFO] İlerleme: 2280 / 3844 ürün işlendi
[2025-05-08 08:51:52] [INFO] İlerleme: 2290 / 3844 ürün işlendi
[2025-05-08 08:51:57] [INFO] İlerleme: 2300 / 3844 ürün işlendi
[2025-05-08 08:52:01] [INFO] İlerleme: 2310 / 3844 ürün işlendi
[2025-05-08 08:52:04] [INFO] İlerleme: 2320 / 3844 ürün işlendi
[2025-05-08 08:52:08] [INFO] İlerleme: 2330 / 3844 ürün işlendi
[2025-05-08 08:52:17] [INFO] İlerleme: 2340 / 3844 ürün işlendi
[2025-05-08 08:52:20] [INFO] İlerleme: 2350 / 3844 ürün işlendi
[2025-05-08 08:52:23] [INFO] İlerleme: 2360 / 3844 ürün işlendi
[2025-05-08 08:52:28] [INFO] İlerleme: 2370 / 3844 ürün işlendi
[2025-05-08 08:52:32] [INFO] İlerleme: 2380 / 3844 ürün işlendi
[2025-05-08 08:52:37] [INFO] İlerleme: 2390 / 3844 ürün işlendi
[2025-05-08 08:52:44] [INFO] İlerleme: 2400 / 3844 ürün işlendi
[2025-05-08 08:52:45] [INFO] Batch işlemi başlatılıyor: 2400-2600 / 3844
[2025-05-08 08:52:51] [INFO] İlerleme: 2410 / 3844 ürün işlendi
[2025-05-08 08:52:56] [INFO] İlerleme: 2420 / 3844 ürün işlendi
[2025-05-08 08:52:59] [INFO] İlerleme: 2430 / 3844 ürün işlendi
[2025-05-08 08:53:04] [INFO] İlerleme: 2440 / 3844 ürün işlendi
[2025-05-08 08:53:10] [INFO] İlerleme: 2450 / 3844 ürün işlendi
[2025-05-08 08:53:18] [INFO] İlerleme: 2460 / 3844 ürün işlendi
[2025-05-08 08:53:24] [INFO] İlerleme: 2470 / 3844 ürün işlendi
[2025-05-08 08:53:29] [INFO] İlerleme: 2480 / 3844 ürün işlendi
[2025-05-08 08:53:33] [INFO] İlerleme: 2490 / 3844 ürün işlendi
[2025-05-08 08:53:39] [INFO] İlerleme: 2500 / 3844 ürün işlendi
[2025-05-08 08:53:43] [INFO] İlerleme: 2510 / 3844 ürün işlendi
[2025-05-08 08:53:47] [INFO] İlerleme: 2520 / 3844 ürün işlendi
[2025-05-08 08:53:52] [INFO] İlerleme: 2530 / 3844 ürün işlendi
[2025-05-08 08:54:00] [INFO] İlerleme: 2540 / 3844 ürün işlendi
[2025-05-08 08:54:05] [INFO] İlerleme: 2550 / 3844 ürün işlendi
[2025-05-08 08:54:10] [INFO] İlerleme: 2560 / 3844 ürün işlendi
[2025-05-08 08:54:13] [INFO] İlerleme: 2570 / 3844 ürün işlendi
[2025-05-08 08:54:18] [INFO] İlerleme: 2580 / 3844 ürün işlendi
[2025-05-08 08:54:22] [INFO] İlerleme: 2590 / 3844 ürün işlendi
[2025-05-08 08:54:29] [INFO] İlerleme: 2600 / 3844 ürün işlendi
[2025-05-08 08:54:30] [INFO] Batch işlemi başlatılıyor: 2600-2800 / 3844
[2025-05-08 08:54:34] [INFO] İlerleme: 2610 / 3844 ürün işlendi
[2025-05-08 08:54:39] [INFO] İlerleme: 2620 / 3844 ürün işlendi
[2025-05-08 08:54:42] [INFO] İlerleme: 2630 / 3844 ürün işlendi
[2025-05-08 08:54:43] [INFO] İlerleme: 2640 / 3844 ürün işlendi
[2025-05-08 08:54:45] [INFO] İlerleme: 2650 / 3844 ürün işlendi
[2025-05-08 08:54:47] [INFO] İlerleme: 2660 / 3844 ürün işlendi
[2025-05-08 08:54:52] [INFO] İlerleme: 2670 / 3844 ürün işlendi
[2025-05-08 08:54:58] [INFO] İlerleme: 2680 / 3844 ürün işlendi
[2025-05-08 08:55:03] [INFO] İlerleme: 2690 / 3844 ürün işlendi
[2025-05-08 08:55:07] [INFO] İlerleme: 2700 / 3844 ürün işlendi
[2025-05-08 08:55:11] [INFO] İlerleme: 2710 / 3844 ürün işlendi
[2025-05-08 08:55:15] [INFO] İlerleme: 2720 / 3844 ürün işlendi
[2025-05-08 08:55:20] [INFO] İlerleme: 2730 / 3844 ürün işlendi
[2025-05-08 08:55:24] [INFO] İlerleme: 2740 / 3844 ürün işlendi
[2025-05-08 08:55:28] [INFO] İlerleme: 2750 / 3844 ürün işlendi
[2025-05-08 08:55:35] [INFO] İlerleme: 2760 / 3844 ürün işlendi
[2025-05-08 08:55:39] [INFO] İlerleme: 2770 / 3844 ürün işlendi
[2025-05-08 08:55:45] [INFO] İlerleme: 2780 / 3844 ürün işlendi
[2025-05-08 08:55:50] [INFO] İlerleme: 2790 / 3844 ürün işlendi
[2025-05-08 08:55:56] [INFO] İlerleme: 2800 / 3844 ürün işlendi
[2025-05-08 08:55:57] [INFO] Batch işlemi başlatılıyor: 2800-3000 / 3844
[2025-05-08 08:56:00] [INFO] İlerleme: 2810 / 3844 ürün işlendi
[2025-05-08 08:56:05] [INFO] İlerleme: 2820 / 3844 ürün işlendi
[2025-05-08 08:56:13] [INFO] İlerleme: 2830 / 3844 ürün işlendi
[2025-05-08 08:56:20] [INFO] İlerleme: 2840 / 3844 ürün işlendi
[2025-05-08 08:56:25] [INFO] İlerleme: 2850 / 3844 ürün işlendi
[2025-05-08 08:56:29] [INFO] İlerleme: 2860 / 3844 ürün işlendi
[2025-05-08 08:56:32] [INFO] İlerleme: 2870 / 3844 ürün işlendi
[2025-05-08 08:56:39] [INFO] İlerleme: 2880 / 3844 ürün işlendi
[2025-05-08 08:56:45] [INFO] İlerleme: 2890 / 3844 ürün işlendi
[2025-05-08 08:56:51] [INFO] İlerleme: 2900 / 3844 ürün işlendi
[2025-05-08 08:57:03] [INFO] İlerleme: 2910 / 3844 ürün işlendi
[2025-05-08 08:57:10] [INFO] İlerleme: 2920 / 3844 ürün işlendi
[2025-05-08 08:57:17] [INFO] İlerleme: 2930 / 3844 ürün işlendi
[2025-05-08 08:57:22] [INFO] İlerleme: 2940 / 3844 ürün işlendi
[2025-05-08 08:57:29] [INFO] İlerleme: 2950 / 3844 ürün işlendi
[2025-05-08 08:57:35] [INFO] İlerleme: 2960 / 3844 ürün işlendi
[2025-05-08 08:57:40] [INFO] İlerleme: 2970 / 3844 ürün işlendi
[2025-05-08 08:57:46] [INFO] İlerleme: 2980 / 3844 ürün işlendi
[2025-05-08 08:57:52] [INFO] İlerleme: 2990 / 3844 ürün işlendi
[2025-05-08 08:57:57] [INFO] İlerleme: 3000 / 3844 ürün işlendi
[2025-05-08 08:57:58] [INFO] Batch işlemi başlatılıyor: 3000-3200 / 3844
[2025-05-08 08:58:02] [INFO] İlerleme: 3010 / 3844 ürün işlendi
[2025-05-08 08:58:05] [INFO] İlerleme: 3020 / 3844 ürün işlendi
[2025-05-08 08:58:11] [INFO] İlerleme: 3030 / 3844 ürün işlendi
[2025-05-08 08:58:19] [INFO] İlerleme: 3040 / 3844 ürün işlendi
[2025-05-08 08:58:26] [INFO] İlerleme: 3050 / 3844 ürün işlendi
[2025-05-08 08:58:37] [INFO] İlerleme: 3060 / 3844 ürün işlendi
[2025-05-08 08:58:48] [INFO] İlerleme: 3070 / 3844 ürün işlendi
[2025-05-08 08:58:56] [INFO] İlerleme: 3080 / 3844 ürün işlendi
[2025-05-08 08:59:01] [INFO] İlerleme: 3090 / 3844 ürün işlendi
[2025-05-08 08:59:06] [INFO] İlerleme: 3100 / 3844 ürün işlendi
